AQ,DQ,Loss,ccODP,Dispersion
1,1,0,8092.07286529903,271113.529499079
2,1,0,7796.49251486304,271113.529499079
3,1,5271,10018.4815387715,271113.529499079
4,1,0,10444.57474256,271113.529499079
5,1,2973,9472.83800292636,271113.529499079
6,1,5295,6885.50027589024,271113.529499079
7,1,0,13736.2330264506,271113.529499079
8,1,8125,11411.9571898613,271113.529499079
9,1,2143,12371.0128448917,271113.529499079
10,1,0,15667.6080856201,271113.529499079
11,1,8137,8875.83077708454,271113.529499079
12,1,0,8475.77792798547,271113.529499079
13,1,14081,11579.3653653001,271113.529499079
14,1,13647,15869.1823041949,271113.529499079
15,1,21290,9915.13854476857,271113.529499079
16,1,15388,13059.6101053589,271113.529499079
17,1,0,12040.4386008665,271113.529499079
18,1,95302,14837.1854451862,271113.529499079
19,1,7609,10940.2469981892,271113.529499079
20,1,9676,14956.5942105482,271113.529499079
21,1,21629,17883.3207785502,271113.529499079
22,1,3057,14237.3263078043,271113.529499079
23,1,79,15024.0066031082,271113.529499079
24,1,7531,15498.8112588722,271113.529499079
25,1,40678,17392.4368806032,271113.529499079
26,1,20266,16723.9280796334,271113.529499079
27,1,13841,18293.2853823705,271113.529499079
28,1,43632,19987.5379107533,271113.529499079
29,1,0,21893.4725049373,271113.529499079
30,1,11381,20907.3654641108,271113.529499079
31,1,0,25132.9039067988,271113.529499079
32,1,6451,25955.2459867948,271113.529499079
33,1,0,17969.385976487,271113.529499079
34,1,48934,16076.5584050422,271113.529499079
35,1,17073,31321.8866893973,271113.529499079
36,1,58040,26883.4469163526,271113.529499079
37,1,33602,24993.051346031,271113.529499079
38,1,0,10725.9503938,271113.529499079
39,1,73819,25603.9378419622,271113.529499079
40,1,20837,20837,271113.529499079
1,2,35981,118999.037616082,271113.529499079
2,2,15367,114652.342050482,271113.529499079
3,2,64660,147328.092731433,271113.529499079
4,2,53799,153594.062159739,271113.529499079
5,2,69028,139304.060233475,271113.529499079
6,2,24092,101255.62633647,271113.529499079
7,2,141078,201999.97427451,271113.529499079
8,2,40218,167820.031469679,271113.529499079
9,2,72258,181923.550045036,271113.529499079
10,2,27522,230402.063225347,271113.529499079
11,2,36596,130524.692263412,271113.529499079
12,2,41221,124641.662682387,271113.529499079
13,2,61931,170281.874324767,271113.529499079
14,2,346096,233366.339303664,271113.529499079
15,2,248889,145808.368794758,271113.529499079
16,2,533985,192049.807267959,271113.529499079
17,2,136501,177062.247192913,271113.529499079
18,2,49094,218190.174297602,271113.529499079
19,2,87956,160883.235450035,271113.529499079
20,2,84375,219946.155539681,271113.529499079
21,2,906533,262985.51649887,271113.529499079
22,2,122503,209368.867168774,271113.529499079
23,2,115665,220937.497309778,271113.529499079
24,2,153299,227919.799376514,271113.529499079
25,2,661478,255766.759029764,271113.529499079
26,2,101241,245935.915279651,271113.529499079
27,2,241783,269014.304687429,271113.529499079
28,2,389653,293929.357197737,271113.529499079
29,2,410829,321957.328057921,271113.529499079
30,2,117587,307456.001784896,271113.529499079
31,2,914774,369595.210917074,271113.529499079
32,2,160234,381688.27010471,271113.529499079
33,2,72337,264251.159542031,271113.529499079
34,2,479526,236415.935721811,271113.529499079
35,2,469643,460608.108009233,271113.529499079
36,2,897203,395338.050472531,271113.529499079
37,2,236303,367538.590763431,271113.529499079
38,2,5449,157731.868660437,271113.529499079
39,2,328307,376522.062158036,271113.529499079
40,2,248914,306421.233234245,271113.529499079
1,3,298003,291038.473488692,271113.529499079
2,3,155711,280407.66783282,271113.529499079
3,3,348129,360323.445210467,271113.529499079
4,3,370468,375648.259712116,271113.529499079
5,3,284462,340698.898523262,271113.529499079
6,3,74892,247643.035704055,271113.529499079
7,3,458048,494035.626971015,271113.529499079
8,3,245051,410441.014971359,271113.529499079
9,3,197926,444934.289868538,271113.529499079
10,3,335041,563499.219095263,271113.529499079
11,3,129073,319227.011830815,271113.529499079
12,3,146955,304838.761446185,271113.529499079
13,3,933434,416461.996324379,271113.529499079
14,3,314395,570749.012052547,271113.529499079
15,3,179233,356606.624104057,271113.529499079
16,3,651316,469700.292210688,271113.529499079
17,3,1468983,433044.898243267,271113.529499079
18,3,420782,533632.342999922,271113.529499079
19,3,424429,393475.545628885,271113.529499079
20,3,1553429,537926.983615574,271113.529499079
21,3,518511,643189.262743437,271113.529499079
22,3,1502871,512057.88481622,271113.529499079
23,3,592520,540351.529235897,271113.529499079
24,3,696987,557428.293684159,271113.529499079
25,3,607862,625534.194295978,271113.529499079
26,3,574402,601490.690957998,271113.529499079
27,3,687440,657933.998050001,271113.529499079
28,3,862688,718869.271097207,271113.529499079
29,3,853407,787417.874661974,271113.529499079
30,3,457423,751951.673030337,271113.529499079
31,3,376149,903926.856459715,271113.529499079
32,3,759362,933503.108136076,271113.529499079
33,3,298847,646284.672812647,271113.529499079
34,3,432055,578207.474776905,271113.529499079
