AQ,1,2,3,4,5,6,7,8,9,10
1,7701,7072,8473,3549,3327,1804,817,330,105,63
2,9609,9540,5755,3198,1898,1912,602,122,462,-17
3,10780,8570,7062,5220,4849,2220,488,239,169,52
4,9098,8974,8522,4985,2864,1576,857,372,133,14
5,9446,9620,10928,5506,1973,1858,607,140,82,315
6,13791,11656,11664,5323,3731,2079,1919,762,270,166
7,16783,17370,10413,9144,6121,1676,1290,260,131,410
8,17389,15132,13653,8253,4722,2843,1605,270,133,82
9,22871,20819,10874,5763,4186,3146,2431,2939,241,705
10,22916,18260,13051,14165,8046,4968,5166,572,427,882
