AQ,1,2,3,4,5,6,7,8,9,10
1,242,4396,4257,2456,1895,-908,1356,203,2688,1050
2,774,3131,5175,4899,3867,2656,1669,465,428,83
3,1120,4497,5040,1631,2876,3728,385,286,2398,-63
4,307,9507,9442,6248,3285,-223,737,542,145,118
5,741,5601,7231,7348,5898,900,1313,-2557,3318,-1126
6,1303,6121,10005,10325,4746,1301,1808,1250,265,182
7,944,7245,10491,8630,4594,2571,1553,807,1353,604
8,1086,7803,12769,9257,7701,5058,1489,2633,1362,815
9,1549,6993,13467,6324,12035,7304,3900,816,1856,1569
10,1201,7243,19652,13493,7736,8661,4890,2863,519,3097
