AQ,1,2,3,4,5,6,7,8,9,10
1,2552,4708,4233,3566,1911,1498,1405,706,986,84
2,3342,4562,8185,6283,3767,2907,1279,976,74,106
3,4336,8201,9493,6606,5765,2818,1371,1358,614,255
4,5654,6435,8628,9643,3964,2047,2058,2334,165,200
5,4335,6865,8733,7521,5347,3865,2169,1353,489,363
6,8166,7614,8197,9262,4499,2282,2718,2456,1950,1441
7,5668,6854,9135,8285,6531,4618,2204,1150,4608,1204
8,5324,9108,9170,7132,2864,4377,2571,2187,2168,1800
9,6582,8010,7461,11296,6256,4726,3564,1728,1465,1088
10,7384,7468,13925,11171,8717,6723,4913,1907,1954,1843
