AQ,1,2,3,4,5,6,7,8,9,10
1,29930,16580,5712,3373,959,567,68,223,-8,88
2,33395,17881,6802,3116,1037,728,209,160,13,21
3,34941,20560,7129,3537,1791,440,216,398,116,16
4,37942,22661,7285,3071,1249,594,429,66,82,13
5,44686,24453,8193,4699,1726,685,182,309,243,16
6,49740,29385,10284,5257,2104,487,469,99,86,0
7,55377,30389,10246,4917,1627,976,880,206,190,253
8,54507,34430,10322,5300,3231,910,726,311,135,-18
9,62449,37633,10351,6430,2603,1092,531,139,106,130
10,66574,36910,11122,6724,2439,1015,275,251,77,29
