AQ,1,2,3,4,5,6,7,8,9,10
1,1249,2843,4801,6623,8290,10264,-3371,431,586,714
2,946,1983,7024,7415,7771,4489,2431,913,638,682
3,1765,2978,5111,10617,6285,6898,9628,-694,6748,6166
4,1408,3818,4542,11869,3702,6235,6164,12517,3058,273
5,1647,5981,5220,5475,3620,1196,9440,2254,1454,4217
6,7566,7425,14475,19624,8500,9264,2809,3222,11165,9481
7,2299,4557,17098,37542,17409,11511,4871,5571,3803,1696
8,4959,8582,9462,21310,29253,9815,5753,4253,4296,3459
9,6063,3644,17107,28371,16286,13639,5205,8751,2567,2044
10,6507,22529,14344,23447,15558,25271,8695,4135,3944,4870
