AQ,1,2,3,4,5,6,7,8,9,10
1,9558,13220,10520,7050,4798,2902,1734,841,1189,127
2,7913,11559,10150,7194,4159,2327,1405,1164,358,254
3,8744,15558,11104,8006,4645,2840,1982,1077,484,417
4,13301,19649,14251,9193,5256,3389,1527,1217,540,642
5,11424,17662,12948,8876,5496,3031,1592,1325,683,369
6,11792,15369,11068,8493,4020,2738,2480,866,984,107
7,11194,15699,11595,7092,3256,1723,1560,1307,1240,589
8,12550,19054,12441,8494,4583,3404,2356,1588,1329,1212
9,13194,18280,12596,7623,5427,3333,3046,2706,1218,802
10,9372,14363,10456,5535,4959,3753,2337,1919,1523,1160
